2026-07-12 02:45:18.083 User Agent: [Hub 3.19.5], Protocol version: [1.17.4], Session Id: [19b8d8883fb74759903bce15abcc8087], Licensed Package: False, Entitlement requested: [com.unity.editor.access.xlts], Result: [granted: False, group: (null)]
2026-07-12 12:59:19.859 User Agent: [Hub 3.19.5], Protocol version: [1.17.4], Session Id: [f30a45dc8107472cbab15d9959b52ea2], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 18968465019301-UnityPersonal]
2026-07-12 12:59:20.498 User Agent: [Hub 3.19.5], Protocol version: [1.17.4], Session Id: [f30a45dc8107472cbab15d9959b52ea2], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 18968465019301-UnityPersonal]
2026-07-12 12:59:42.654 User Agent: [Hub 3.19.5], Protocol version: [1.17.4], Session Id: [f30a45dc8107472cbab15d9959b52ea2], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 18968465019301-UnityPersonal]
2026-07-12 13:00:19.889 User Agent: [Hub 3.19.5], Protocol version: [1.17.4], Session Id: [f30a45dc8107472cbab15d9959b52ea2], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 18968465019301-UnityPersonal]
2026-07-12 13:02:03.028 User Agent: [Hub 3.19.5], Protocol version: [1.17.4], Session Id: [f30a45dc8107472cbab15d9959b52ea2], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 18968465019301-UnityPersonal]
2026-07-12 13:02:03.055 User Agent: [Hub 3.19.5], Protocol version: [1.17.4], Session Id: [f30a45dc8107472cbab15d9959b52ea2], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 18968465019301-UnityPersonal]
2026-07-12 13:02:04.326 User Agent: [UnityEditor/6000.5.3f1 (Linux; U; Linux 7.0; en_US)], Protocol version: [1.18.1], Session Id: [ffa2faf94aaa448390a597e70858822a], Licensed Package: False, Entitlement requested: [com.unity.editor.headless], Result: [granted: True, group: 18968465019301-UnityPersonal]
2026-07-12 13:02:04.326 User Agent: [UnityEditor/6000.5.3f1 (Linux; U; Linux 7.0; en_US)], Protocol version: [1.18.1], Session Id: [ffa2faf94aaa448390a597e70858822a], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 18968465019301-UnityPersonal]
2026-07-12 13:02:04.353 User Agent: [UnityEditor/6000.5.3f1 (Linux; U; Linux 7.0; en_US)], Protocol version: [1.18.1], Session Id: [ffa2faf94aaa448390a597e70858822a], Licensed Package: False, Entitlement requested: [com.unity.editor.legacy.pro], Result: [granted: False, group: (null)]
2026-07-12 13:02:04.353 User Agent: [UnityEditor/6000.5.3f1 (Linux; U; Linux 7.0; en_US)], Protocol version: [1.18.1], Session Id: [ffa2faf94aaa448390a597e70858822a], Licensed Package: False, Entitlement requested: [com.unity.editor.watermarks.edu], Result: [granted: False, group: (null)]
2026-07-12 13:02:04.354 User Agent: [UnityEditor/6000.5.3f1 (Linux; U; Linux 7.0; en_US)], Protocol version: [1.18.1], Session Id: [ffa2faf94aaa448390a597e70858822a], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 18968465019301-UnityPersonal]
2026-07-12 13:02:04.354 User Agent: [UnityEditor/6000.5.3f1 (Linux; U; Linux 7.0; en_US)], Protocol version: [1.18.1], Session Id: [ffa2faf94aaa448390a597e70858822a], Licensed Package: False, Entitlement requested: [com.unity.editor.disable-splash-screen], Result: [granted: False, group: (null)]
2026-07-12 13:02:04.354 User Agent: [UnityEditor/6000.5.3f1 (Linux; U; Linux 7.0; en_US)], Protocol version: [1.18.1], Session Id: [ffa2faf94aaa448390a597e70858822a], Licensed Package: False, Entitlement requested: [com.unity.editor.watermarks.trial], Result: [granted: False, group: (null)]
2026-07-12 13:02:34.292 User Agent: [Hub 3.19.5], Protocol version: [1.17.4], Session Id: [f30a45dc8107472cbab15d9959b52ea2], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 18968465019301-UnityPersonal]
2026-07-12 13:02:59.072 User Agent: [Hub 3.19.5], Protocol version: [1.17.4], Session Id: [f30a45dc8107472cbab15d9959b52ea2], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 18968465019301-UnityPersonal]
2026-07-12 13:04:08.888 User Agent: [Hub 3.19.5], Protocol version: [1.17.4], Session Id: [f30a45dc8107472cbab15d9959b52ea2], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 18968465019301-UnityPersonal]
2026-07-12 13:04:20.612 User Agent: [Hub 3.19.5], Protocol version: [1.17.4], Session Id: [f30a45dc8107472cbab15d9959b52ea2], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 18968465019301-UnityPersonal]
2026-07-12 13:04:22.871 User Agent: [Hub 3.19.5], Protocol version: [1.17.4], Session Id: [f30a45dc8107472cbab15d9959b52ea2], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 18968465019301-UnityPersonal]
2026-07-12 13:04:23.775 User Agent: [Hub 3.19.5], Protocol version: [1.17.4], Session Id: [f30a45dc8107472cbab15d9959b52ea2], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 18968465019301-UnityPersonal]
2026-07-12 13:04:31.467 User Agent: [Hub 3.19.5], Protocol version: [1.17.4], Session Id: [f30a45dc8107472cbab15d9959b52ea2], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 18968465019301-UnityPersonal]
2026-07-12 13:04:38.483 User Agent: [Hub 3.19.5], Protocol version: [1.17.4], Session Id: [f30a45dc8107472cbab15d9959b52ea2], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 18968465019301-UnityPersonal]
2026-07-12 13:04:38.502 User Agent: [Hub 3.19.5], Protocol version: [1.17.4], Session Id: [f30a45dc8107472cbab15d9959b52ea2], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 18968465019301-UnityPersonal]
2026-07-12 13:04:38.644 User Agent: [UnityEditor/6000.5.3f1 (Linux; U; Linux 7.0; en_US)], Protocol version: [1.18.1], Session Id: [5719d5da84424cb5bbca63e14b6a82cf], Licensed Package: False, Entitlement requested: [com.unity.editor.headless], Result: [granted: True, group: 18968465019301-UnityPersonal]
2026-07-12 13:04:38.644 User Agent: [UnityEditor/6000.5.3f1 (Linux; U; Linux 7.0; en_US)], Protocol version: [1.18.1], Session Id: [5719d5da84424cb5bbca63e14b6a82cf], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 18968465019301-UnityPersonal]
2026-07-12 13:04:38.647 User Agent: [UnityEditor/6000.5.3f1 (Linux; U; Linux 7.0; en_US)], Protocol version: [1.18.1], Session Id: [5719d5da84424cb5bbca63e14b6a82cf], Licensed Package: False, Entitlement requested: [com.unity.editor.legacy.pro], Result: [granted: False, group: (null)]
2026-07-12 13:04:38.647 User Agent: [UnityEditor/6000.5.3f1 (Linux; U; Linux 7.0; en_US)], Protocol version: [1.18.1], Session Id: [5719d5da84424cb5bbca63e14b6a82cf], Licensed Package: False, Entitlement requested: [com.unity.editor.watermarks.edu], Result: [granted: False, group: (null)]
2026-07-12 13:04:38.647 User Agent: [UnityEditor/6000.5.3f1 (Linux; U; Linux 7.0; en_US)], Protocol version: [1.18.1], Session Id: [5719d5da84424cb5bbca63e14b6a82cf], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 18968465019301-UnityPersonal]
2026-07-12 13:04:38.648 User Agent: [UnityEditor/6000.5.3f1 (Linux; U; Linux 7.0; en_US)], Protocol version: [1.18.1], Session Id: [5719d5da84424cb5bbca63e14b6a82cf], Licensed Package: False, Entitlement requested: [com.unity.editor.disable-splash-screen], Result: [granted: False, group: (null)]
2026-07-12 13:04:38.648 User Agent: [UnityEditor/6000.5.3f1 (Linux; U; Linux 7.0; en_US)], Protocol version: [1.18.1], Session Id: [5719d5da84424cb5bbca63e14b6a82cf], Licensed Package: False, Entitlement requested: [com.unity.editor.watermarks.trial], Result: [granted: False, group: (null)]
2026-07-12 13:04:46.246 User Agent: [Hub 3.19.5], Protocol version: [1.17.4], Session Id: [f30a45dc8107472cbab15d9959b52ea2], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 18968465019301-UnityPersonal]
2026-07-12 13:07:45.929 User Agent: [Hub 3.19.5], Protocol version: [1.17.4], Session Id: [f30a45dc8107472cbab15d9959b52ea2], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 18968465019301-UnityPersonal]
2026-07-12 13:08:06.489 User Agent: [Hub 3.19.5], Protocol version: [1.17.4], Session Id: [f30a45dc8107472cbab15d9959b52ea2], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 18968465019301-UnityPersonal]
2026-07-12 13:08:06.506 User Agent: [Hub 3.19.5], Protocol version: [1.17.4], Session Id: [f30a45dc8107472cbab15d9959b52ea2], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 18968465019301-UnityPersonal]
2026-07-12 13:08:07.631 User Agent: [UnityEditor/6000.5.3f1 (Linux; U; Linux 7.0; en_US)], Protocol version: [1.18.1], Session Id: [17cfb7b6600f49d8a29a8627a9abb2a4], Licensed Package: False, Entitlement requested: [com.unity.editor.headless], Result: [granted: True, group: 18968465019301-UnityPersonal]
2026-07-12 13:08:07.632 User Agent: [UnityEditor/6000.5.3f1 (Linux; U; Linux 7.0; en_US)], Protocol version: [1.18.1], Session Id: [17cfb7b6600f49d8a29a8627a9abb2a4], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 18968465019301-UnityPersonal]
2026-07-12 13:08:07.667 User Agent: [UnityEditor/6000.5.3f1 (Linux; U; Linux 7.0; en_US)], Protocol version: [1.18.1], Session Id: [17cfb7b6600f49d8a29a8627a9abb2a4], Licensed Package: False, Entitlement requested: [com.unity.editor.legacy.pro], Result: [granted: False, group: (null)]
2026-07-12 13:08:07.668 User Agent: [UnityEditor/6000.5.3f1 (Linux; U; Linux 7.0; en_US)], Protocol version: [1.18.1], Session Id: [17cfb7b6600f49d8a29a8627a9abb2a4], Licensed Package: False, Entitlement requested: [com.unity.editor.watermarks.edu], Result: [granted: False, group: (null)]
2026-07-12 13:08:07.668 User Agent: [UnityEditor/6000.5.3f1 (Linux; U; Linux 7.0; en_US)], Protocol version: [1.18.1], Session Id: [17cfb7b6600f49d8a29a8627a9abb2a4], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 18968465019301-UnityPersonal]
2026-07-12 13:08:07.668 User Agent: [UnityEditor/6000.5.3f1 (Linux; U; Linux 7.0; en_US)], Protocol version: [1.18.1], Session Id: [17cfb7b6600f49d8a29a8627a9abb2a4], Licensed Package: False, Entitlement requested: [com.unity.editor.disable-splash-screen], Result: [granted: False, group: (null)]
2026-07-12 13:08:07.668 User Agent: [UnityEditor/6000.5.3f1 (Linux; U; Linux 7.0; en_US)], Protocol version: [1.18.1], Session Id: [17cfb7b6600f49d8a29a8627a9abb2a4], Licensed Package: False, Entitlement requested: [com.unity.editor.watermarks.trial], Result: [granted: False, group: (null)]
2026-07-12 13:08:34.774 User Agent: [UnityEditor/6000.5.3f1 (Linux; U; Linux 7.0; en_US)], Protocol version: [1.18.1], Session Id: [17cfb7b6600f49d8a29a8627a9abb2a4], Licensed Package: False, Entitlement requested: [com.unity.editor.packages.bypasstrust], Result: [granted: False, group: (null)]
2026-07-12 13:08:34.775 User Agent: [UnityEditor/6000.5.3f1 (Linux; U; Linux 7.0; en_US)], Protocol version: [1.18.1], Session Id: [17cfb7b6600f49d8a29a8627a9abb2a4], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 18968465019301-UnityPersonal]
2026-07-12 13:08:46.071 User Agent: [UnityEditor/6000.5.3f1 (Linux; U; Linux 7.0; en_US)], Protocol version: [1.18.1], Session Id: [17cfb7b6600f49d8a29a8627a9abb2a4], Licensed Package: False, Entitlement requested: [com.unity.ai.navigation], Result: [granted: True, group: (null)]
2026-07-12 13:08:46.071 User Agent: [UnityEditor/6000.5.3f1 (Linux; U; Linux 7.0; en_US)], Protocol version: [1.18.1], Session Id: [17cfb7b6600f49d8a29a8627a9abb2a4], Licensed Package: False, Entitlement requested: [com.unity.collab-proxy], Result: [granted: True, group: (null)]
2026-07-12 13:08:46.071 User Agent: [UnityEditor/6000.5.3f1 (Linux; U; Linux 7.0; en_US)], Protocol version: [1.18.1], Session Id: [17cfb7b6600f49d8a29a8627a9abb2a4], Licensed Package: False, Entitlement requested: [com.unity.ide.rider], Result: [granted: True, group: (null)]
2026-07-12 13:08:46.071 User Agent: [UnityEditor/6000.5.3f1 (Linux; U; Linux 7.0; en_US)], Protocol version: [1.18.1], Session Id: [17cfb7b6600f49d8a29a8627a9abb2a4], Licensed Package: False, Entitlement requested: [com.unity.ide.visualstudio], Result: [granted: True, group: (null)]
2026-07-12 13:08:46.072 User Agent: [UnityEditor/6000.5.3f1 (Linux; U; Linux 7.0; en_US)], Protocol version: [1.18.1], Session Id: [17cfb7b6600f49d8a29a8627a9abb2a4], Licensed Package: False, Entitlement requested: [com.unity.inputsystem], Result: [granted: True, group: (null)]
2026-07-12 13:08:46.072 User Agent: [UnityEditor/6000.5.3f1 (Linux; U; Linux 7.0; en_US)], Protocol version: [1.18.1], Session Id: [17cfb7b6600f49d8a29a8627a9abb2a4], Licensed Package: False, Entitlement requested: [com.unity.render-pipelines.universal], Result: [granted: True, group: (null)]
2026-07-12 13:08:46.072 User Agent: [UnityEditor/6000.5.3f1 (Linux; U; Linux 7.0; en_US)], Protocol version: [1.18.1], Session Id: [17cfb7b6600f49d8a29a8627a9abb2a4], Licensed Package: False, Entitlement requested: [com.unity.test-framework], Result: [granted: True, group: (null)]
2026-07-12 13:08:46.072 User Agent: [UnityEditor/6000.5.3f1 (Linux; U; Linux 7.0; en_US)], Protocol version: [1.18.1], Session Id: [17cfb7b6600f49d8a29a8627a9abb2a4], Licensed Package: False, Entitlement requested: [com.unity.timeline], Result: [granted: True, group: (null)]
2026-07-12 13:08:46.072 User Agent: [UnityEditor/6000.5.3f1 (Linux; U; Linux 7.0; en_US)], Protocol version: [1.18.1], Session Id: [17cfb7b6600f49d8a29a8627a9abb2a4], Licensed Package: False, Entitlement requested: [com.unity.ugui], Result: [granted: True, group: (null)]
2026-07-12 13:08:46.072 User Agent: [UnityEditor/6000.5.3f1 (Linux; U; Linux 7.0; en_US)], Protocol version: [1.18.1], Session Id: [17cfb7b6600f49d8a29a8627a9abb2a4], Licensed Package: False, Entitlement requested: [com.unity.visualscripting], Result: [granted: True, group: (null)]
2026-07-12 13:08:46.072 User Agent: [UnityEditor/6000.5.3f1 (Linux; U; Linux 7.0; en_US)], Protocol version: [1.18.1], Session Id: [17cfb7b6600f49d8a29a8627a9abb2a4], Licensed Package: False, Entitlement requested: [com.unity.modules.jsonserialize], Result: [granted: True, group: (null)]
2026-07-12 13:08:46.072 User Agent: [UnityEditor/6000.5.3f1 (Linux; U; Linux 7.0; en_US)], Protocol version: [1.18.1], Session Id: [17cfb7b6600f49d8a29a8627a9abb2a4], Licensed Package: False, Entitlement requested: [com.unity.modules.ui], Result: [granted: True, group: (null)]
2026-07-12 13:08:46.072 User Agent: [UnityEditor/6000.5.3f1 (Linux; U; Linux 7.0; en_US)], Protocol version: [1.18.1], Session Id: [17cfb7b6600f49d8a29a8627a9abb2a4], Licensed Package: False, Entitlement requested: [com.unity.modules.imgui], Result: [granted: True, group: (null)]
2026-07-12 13:08:46.072 User Agent: [UnityEditor/6000.5.3f1 (Linux; U; Linux 7.0; en_US)], Protocol version: [1.18.1], Session Id: [17cfb7b6600f49d8a29a8627a9abb2a4], Licensed Package: False, Entitlement requested: [com.unity.modules.audio], Result: [granted: True, group: (null)]
2026-07-12 13:08:46.072 User Agent: [UnityEditor/6000.5.3f1 (Linux; U; Linux 7.0; en_US)], Protocol version: [1.18.1], Session Id: [17cfb7b6600f49d8a29a8627a9abb2a4], Licensed Package: False, Entitlement requested: [com.unity.modules.physics2d], Result: [granted: True, group: (null)]
2026-07-12 13:08:46.072 User Agent: [UnityEditor/6000.5.3f1 (Linux; U; Linux 7.0; en_US)], Protocol version: [1.18.1], Session Id: [17cfb7b6600f49d8a29a8627a9abb2a4], Licensed Package: False, Entitlement requested: [com.unity.modules.physics], Result: [granted: True, group: (null)]
2026-07-12 13:08:46.073 User Agent: [UnityEditor/6000.5.3f1 (Linux; U; Linux 7.0; en_US)], Protocol version: [1.18.1], Session Id: [17cfb7b6600f49d8a29a8627a9abb2a4], Licensed Package: False, Entitlement requested: [com.unity.modules.director], Result: [granted: True, group: (null)]
2026-07-12 13:08:46.073 User Agent: [UnityEditor/6000.5.3f1 (Linux; U; Linux 7.0; en_US)], Protocol version: [1.18.1], Session Id: [17cfb7b6600f49d8a29a8627a9abb2a4], Licensed Package: False, Entitlement requested: [com.unity.modules.animation], Result: [granted: True, group: (null)]
2026-07-12 13:08:46.073 User Agent: [UnityEditor/6000.5.3f1 (Linux; U; Linux 7.0; en_US)], Protocol version: [1.18.1], Session Id: [17cfb7b6600f49d8a29a8627a9abb2a4], Licensed Package: False, Entitlement requested: [com.unity.modules.particlesystem], Result: [granted: True, group: (null)]
2026-07-12 13:08:46.073 User Agent: [UnityEditor/6000.5.3f1 (Linux; U; Linux 7.0; en_US)], Protocol version: [1.18.1], Session Id: [17cfb7b6600f49d8a29a8627a9abb2a4], Licensed Package: False, Entitlement requested: [com.unity.ext.nunit], Result: [granted: True, group: (null)]
2026-07-12 13:08:46.073 User Agent: [UnityEditor/6000.5.3f1 (Linux; U; Linux 7.0; en_US)], Protocol version: [1.18.1], Session Id: [17cfb7b6600f49d8a29a8627a9abb2a4], Licensed Package: False, Entitlement requested: [com.unity.render-pipelines.core], Result: [granted: True, group: (null)]
2026-07-12 13:08:46.073 User Agent: [UnityEditor/6000.5.3f1 (Linux; U; Linux 7.0; en_US)], Protocol version: [1.18.1], Session Id: [17cfb7b6600f49d8a29a8627a9abb2a4], Licensed Package: False, Entitlement requested: [com.unity.shadergraph], Result: [granted: True, group: (null)]
2026-07-12 13:08:46.073 User Agent: [UnityEditor/6000.5.3f1 (Linux; U; Linux 7.0; en_US)], Protocol version: [1.18.1], Session Id: [17cfb7b6600f49d8a29a8627a9abb2a4], Licensed Package: False, Entitlement requested: [com.unity.render-pipelines.universal-config], Result: [granted: True, group: (null)]
2026-07-12 13:08:46.073 User Agent: [UnityEditor/6000.5.3f1 (Linux; U; Linux 7.0; en_US)], Protocol version: [1.18.1], Session Id: [17cfb7b6600f49d8a29a8627a9abb2a4], Licensed Package: False, Entitlement requested: [com.unity.modules.uielements], Result: [granted: True, group: (null)]
2026-07-12 13:08:46.073 User Agent: [UnityEditor/6000.5.3f1 (Linux; U; Linux 7.0; en_US)], Protocol version: [1.18.1], Session Id: [17cfb7b6600f49d8a29a8627a9abb2a4], Licensed Package: False, Entitlement requested: [com.unity.modules.ai], Result: [granted: True, group: (null)]
2026-07-12 13:08:46.073 User Agent: [UnityEditor/6000.5.3f1 (Linux; U; Linux 7.0; en_US)], Protocol version: [1.18.1], Session Id: [17cfb7b6600f49d8a29a8627a9abb2a4], Licensed Package: False, Entitlement requested: [com.unity.modules.physicscore2d], Result: [granted: True, group: (null)]
2026-07-12 13:08:46.073 User Agent: [UnityEditor/6000.5.3f1 (Linux; U; Linux 7.0; en_US)], Protocol version: [1.18.1], Session Id: [17cfb7b6600f49d8a29a8627a9abb2a4], Licensed Package: False, Entitlement requested: [com.unity.searcher], Result: [granted: True, group: (null)]
2026-07-12 13:08:46.073 User Agent: [UnityEditor/6000.5.3f1 (Linux; U; Linux 7.0; en_US)], Protocol version: [1.18.1], Session Id: [17cfb7b6600f49d8a29a8627a9abb2a4], Licensed Package: False, Entitlement requested: [com.unity.burst], Result: [granted: True, group: (null)]
2026-07-12 13:08:46.073 User Agent: [UnityEditor/6000.5.3f1 (Linux; U; Linux 7.0; en_US)], Protocol version: [1.18.1], Session Id: [17cfb7b6600f49d8a29a8627a9abb2a4], Licensed Package: False, Entitlement requested: [com.unity.collections], Result: [granted: True, group: (null)]
2026-07-12 13:08:46.073 User Agent: [UnityEditor/6000.5.3f1 (Linux; U; Linux 7.0; en_US)], Protocol version: [1.18.1], Session Id: [17cfb7b6600f49d8a29a8627a9abb2a4], Licensed Package: False, Entitlement requested: [com.unity.modules.terrain], Result: [granted: True, group: (null)]
2026-07-12 13:08:46.074 User Agent: [UnityEditor/6000.5.3f1 (Linux; U; Linux 7.0; en_US)], Protocol version: [1.18.1], Session Id: [17cfb7b6600f49d8a29a8627a9abb2a4], Licensed Package: False, Entitlement requested: [com.unity.modules.hierarchycore], Result: [granted: True, group: (null)]
2026-07-12 13:08:46.074 User Agent: [UnityEditor/6000.5.3f1 (Linux; U; Linux 7.0; en_US)], Protocol version: [1.18.1], Session Id: [17cfb7b6600f49d8a29a8627a9abb2a4], Licensed Package: False, Entitlement requested: [com.unity.nuget.mono-cecil], Result: [granted: True, group: (null)]
2026-07-12 13:08:46.074 User Agent: [UnityEditor/6000.5.3f1 (Linux; U; Linux 7.0; en_US)], Protocol version: [1.18.1], Session Id: [17cfb7b6600f49d8a29a8627a9abb2a4], Licensed Package: False, Entitlement requested: [com.unity.test-framework.performance], Result: [granted: True, group: (null)]
2026-07-12 13:08:46.074 User Agent: [UnityEditor/6000.5.3f1 (Linux; U; Linux 7.0; en_US)], Protocol version: [1.18.1], Session Id: [17cfb7b6600f49d8a29a8627a9abb2a4], Licensed Package: False, Entitlement requested: [com.unity.mathematics], Result: [granted: True, group: (null)]
2026-07-12 13:08:46.658 User Agent: [UnityEditor/6000.5.3f1 (Linux; U; Linux 7.0; en_US)], Protocol version: [1.18.1], Session Id: [17cfb7b6600f49d8a29a8627a9abb2a4], Licensed Package: False, Entitlement requested: [com.unity.editor.legacy.pro], Result: [granted: False, group: (null)]
2026-07-12 13:08:46.658 User Agent: [UnityEditor/6000.5.3f1 (Linux; U; Linux 7.0; en_US)], Protocol version: [1.18.1], Session Id: [17cfb7b6600f49d8a29a8627a9abb2a4], Licensed Package: False, Entitlement requested: [com.unity.editor.watermarks.disable], Result: [granted: False, group: (null)]
2026-07-12 13:08:46.658 User Agent: [UnityEditor/6000.5.3f1 (Linux; U; Linux 7.0; en_US)], Protocol version: [1.18.1], Session Id: [17cfb7b6600f49d8a29a8627a9abb2a4], Licensed Package: False, Entitlement requested: [com.unity.editor.watermarks.prototyping], Result: [granted: False, group: (null)]
2026-07-12 13:08:46.658 User Agent: [UnityEditor/6000.5.3f1 (Linux; U; Linux 7.0; en_US)], Protocol version: [1.18.1], Session Id: [17cfb7b6600f49d8a29a8627a9abb2a4], Licensed Package: False, Entitlement requested: [com.unity.editor.watermarks.edu], Result: [granted: False, group: (null)]
2026-07-12 13:08:46.658 User Agent: [UnityEditor/6000.5.3f1 (Linux; U; Linux 7.0; en_US)], Protocol version: [1.18.1], Session Id: [17cfb7b6600f49d8a29a8627a9abb2a4], Licensed Package: False, Entitlement requested: [com.unity.editor.watermarks.trial], Result: [granted: False, group: (null)]
